"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 09 13:13:08 MSK 2023","Sat Sep 09 13:13:09 MSK 2023","944","tests","test_questions","TestsQuestions","","","Номера вопроса: 7. Ожидаемый ответ: Да, обязательно. Всем самокатов! И Москве, и Московской области.",""
"passed","Sat Sep 09 13:12:32 MSK 2023","Sat Sep 09 13:12:37 MSK 2023","4704","tests","test_order","TestOrder","","","Проверка заказа от имени: Андрей, Миронов",""
"passed","Sat Sep 09 13:13:12 MSK 2023","Sat Sep 09 13:13:14 MSK 2023","1405","tests","test_redirect","TestRedirect","","","Проверка перенаправления на главную страницу",""
"passed","Sat Sep 09 13:12:48 MSK 2023","Sat Sep 09 13:12:49 MSK 2023","1097","tests","test_questions","TestsQuestions","","","Номера вопроса: 2. Ожидаемый ответ: Допустим, вы оформляете заказ на 8 мая. Мы привозим самокат 8 мая в течение дня. Отсчёт времени аренды начинается с момента, когда вы оплатите заказ курьеру. Если мы привезли самокат 8 мая в 20:30, суточная аренда закончится 9 мая в 20:30.",""
"passed","Sat Sep 09 13:12:43 MSK 2023","Sat Sep 09 13:12:44 MSK 2023","1152","tests","test_questions","TestsQuestions","","","Номера вопроса: 1. Ожидаемый ответ: Пока что у нас так: один заказ — один самокат. Если хотите покататься с друзьями, можете просто сделать несколько заказов — один за другим.",""
"passed","Sat Sep 09 13:13:00 MSK 2023","Sat Sep 09 13:13:01 MSK 2023","1554","tests","test_questions","TestsQuestions","","","Номера вопроса: 5. Ожидаемый ответ: Самокат приезжает к вам с полной зарядкой. Этого хватает на восемь суток — даже если будете кататься без передышек и во сне. Зарядка не понадобится.",""
"passed","Sat Sep 09 13:12:56 MSK 2023","Sat Sep 09 13:12:58 MSK 2023","1964","tests","test_questions","TestsQuestions","","","Номера вопроса: 4. Ожидаемый ответ: Пока что нет! Но если что-то срочное — всегда можно позвонить в поддержку по красивому номеру 1010.",""
"passed","Sat Sep 09 13:13:16 MSK 2023","Sat Sep 09 13:13:18 MSK 2023","1808","tests","test_redirect","TestRedirect","","","Проверка перенаправления на страницу Яндекса",""
"passed","Sat Sep 09 13:12:39 MSK 2023","Sat Sep 09 13:12:41 MSK 2023","1381","tests","test_questions","TestsQuestions","","","Номера вопроса: 0. Ожидаемый ответ: Сутки — 400 рублей. Оплата курьеру — наличными или картой.",""
"passed","Sat Sep 09 13:12:52 MSK 2023","Sat Sep 09 13:12:53 MSK 2023","1001","tests","test_questions","TestsQuestions","","","Номера вопроса: 3. Ожидаемый ответ: Только начиная с завтрашнего дня. Но скоро станем расторопнее.",""
"passed","Sat Sep 09 13:13:04 MSK 2023","Sat Sep 09 13:13:06 MSK 2023","1646","tests","test_questions","TestsQuestions","","","Номера вопроса: 6. Ожидаемый ответ: Да, пока самокат не привезли. Штрафа не будет, объяснительной записки тоже не попросим. Все же свои.",""
"passed","Sat Sep 09 13:12:25 MSK 2023","Sat Sep 09 13:12:30 MSK 2023","5307","tests","test_order","TestOrder","","","Проверка заказа от имени: Вася, Пупкин",""
